9/5/2564,00:22:02,5
9/5/2564,14:01:31,5
9/5/2564,14:13:59,4
9/5/2564,14:22:18,4
9/5/2564,14:31:27,4
9/5/2564,22:06:50,5
9/5/2564,22:37:04,5,undefined
9/5/2564,22:37:33,1,undefined
9/5/2564,22:43:44,4,undefined
9/5/2564,22:54:33,4,undefined
9/5/2564,23:02:02,4,undefined
9/5/2564,23:10:43,4,undefined
9/5/2564,23:15:29,4,undefined
9/5/2564,23:21:43,4,undefined
9/5/2564,23:47:21,4,0
9/5/2564,23:53:49,4,0
10/5/2564,00:03:13,4,1
10/5/2564,00:13:35,4,1
10/5/2564,00:19:19,86,1
10/5/2564,23:06:44,30,1
12/5/2564,09:57:48,30,2
14/5/2564,08:33:47,25,1
15/5/2564,09:43:59,5,2
15/5/2564,09:51:28,5,2
15/5/2564,10:26:03,6,2
16/5/2564,15:14:58,4,1
16/5/2564,15:23:27,4,1
16/5/2564,15:54:58,4,1
19/5/2564,16:19:01,4,1
20/5/2564,09:53:47,4,1
28/5/2564,09:32:47,4,2
30/5/2564,14:05:37,4,1
1/6/2564,11:50:30,5,1
1/6/2564,12:00:14,5,1
1/6/2564,12:13:48,4,1
1/6/2564,12:15:08,4,1
1/6/2564,12:25:04,4,1
1/6/2564,12:40:21,4,2
1/6/2564,12:55:17,4,1
1/6/2564,13:05:05,4,2
1/6/2564,13:05:24,4,2
